,Unnamed: 0,ratio,AvgGain,BattingAvg
277,BLU,0.6110578642816006,1.024668733820168,15.0
2,UONE,2.563269270570581,6.01244616755334,15.0
15,DGLY,1.993946843866331,4.697919410318988,15.0
292,PENN,1.998761257112806,5.239834923141945,15.0
236,OGI,1.2917715606335007,5.491896205034959,15.0
116,VBIV,0.7366132740820125,2.0314904236473783,15.0
152,LTRPA,1.7368360436900834,1.9303580114312768,14.0
229,UONEK,0.75303203627802,2.4535924839480057,14.0
278,TTWO,1.7576536289015818,2.972158931950947,14.0
141,TXMD,0.7550468524312637,0.9227587579135266,14.0
