,ratio,AvgGain,BattingAvg
VG,0.39624822956854655,1.1655955023079188,7.0
CDNS,1.3606701365122362,2.537396104245548,8.0
UONE,3.4672794645085214,8.741951591027982,12.0
AVGO,0.8338772531917009,1.274350170827813,10.0
ADBE,0.7089940920758165,2.092295877522103,6.0
ALXN,2.4434421150494496,2.921382002399742,9.0
LLNW,0.23126262225490613,1.4341933768377102,11.0
MXIM,3.7405426676715967,3.3917370381560565,7.0
ARCC,1.1784199375450115,1.0224215034858628,12.0
COST,1.7937840357141412,2.7320957448860472,6.0
GNUS,1.023470998887855,2.9646259045409633,11.0
FRSX,0.9145272385759263,2.9603373404997915,10.0
CRIS,0.8496819736880389,1.9691681851936913,12.0
NLOK,1.5168598407009755,1.1373923914326511,11.0
GEVO,0.9872611179217686,2.814076616089149,9.0
DGLY,1.4281350387956888,3.005841477113329,15.0
QRTEA,1.1687622586877762,1.862904510900089,13.0
MAR,1.535428879756958,1.766968025996163,9.0
VSTM,0.4734348161492482,1.026723307724534,14.0
MGNX,0.42113312895955696,1.480402963987848,8.0
SABR,1.2043777505761413,3.331657755301497,7.0
ENDP,1.8881861769110166,7.181338790438607,9.0
BYND,1.3321209225924195,3.7812150573545735,9.0
YNDX,0.5694076802570733,1.4199552472556665,7.0
COMM,0.9277669053616773,2.846729301459645,8.0
APPS,0.39277541422215817,2.701250487580843,7.0
DCT,-inf,0,0
AGEN,0.5803593987851554,1.600007991943253,11.0
DDOG,1.628570846401786,4.0207876198775105,6.0
PRPO,1.0792245745478877,3.7255256925730595,8.0
ZI,2.306414714161836,6.59813229349298,11.0
MIK,1.0147617195745258,3.3383299766926777,9.0
EBAY,2.3629790083766884,7.242771575556676,9.0
EVFM,1.3937053190482025,3.7565044670121313,11.0
CEMI,0.9363736948178922,2.5074381564913204,10.0
BILI,1.3095691344434812,2.6130894971092467,10.0
ZION,1.4932452608167623,2.9583190473091623,8.0
ZM,2.2609695414407205,4.112015263928326,9.0
PBCT,1.4453164478210094,2.409399065139389,8.0
ZSAN,0.45939782879344415,2.092552482684744,6.0
DISH,0.661874883009929,1.2110940480870875,14.0
INFN,0.7375071901696468,1.7704908519270204,9.0
VIAC,0.9580176864611275,1.997945678611208,7.0
CG,1.1429038903482276,2.1981958591670354,7.0
OPGN,1.0829977304438052,2.4499728739853586,10.0
PEP,5.805943717964016,4.68366559938358,12.0
WDAY,1.0123565514193333,2.2996759624749687,7.0
IMGN,3.125400053248705,4.374551030019284,11.0
AYRO,0.6686997597805409,2.040712037641174,13.0
BNDX,1.4160843641564036,0.06676764302524384,11.0
TER,2.146843349631681,2.4498159300724964,5.0
Z,1.557870184499938,2.8787327651924155,9.0
GT,1.9758776972112877,2.8992527100793293,7.0
NK,2.9813531303375367,6.658623645322228,6.0
DVAX,0.4883928455036464,1.2748973795387837,12.0
AMD,1.9913970836048092,2.672490136528256,7.0
QCOM,1.8297690362512733,2.197456784821905,8.0
ABUS,0.7069525851375124,1.2109753559842038,15.0
MNLO,0.41247234233208857,2.0902788859576473,4.0
WTRH,0.7022643330712939,2.7930234669943212,14.0
ARPO,0.6346434751331685,2.1715710235786974,12.0
NYMT,0.6686730025923686,1.2523191365117148,12.0
DFFN,0.6370559189337835,1.7273349439841332,9.0
KC,0.3760129908184166,1.5915681108522375,8.0
XRAY,1.154732589893049,2.474821417792783,8.0
UAL,1.4861573403279835,2.1335278141604013,7.0
PAAS,0.9449517061357577,2.543294025624417,8.0
MU,1.1918905935940742,2.1015820814089,9.0
CMCSA,0.6739516854531767,0.9271072270359911,7.0
SHY,16.62420970228374,0.01059655710513141,5.0
GLUU,1.1604673421813059,1.358393750628548,11.0
FOXA,0.7483332251646511,1.9557121803987576,7.0
WATT,0.6680384579343751,1.5986697826316911,14.0
MTP,0.8025411741064288,3.0069434399643735,4.0
SFM,0.5602668488942207,0.7967499545879803,16.0
ON,3.200069739615773,4.998768241281462,7.0
CLVS,0.608208558067826,2.06518918790645,14.0
SGMO,2.2745111043195063,5.075418227079553,10.0
PLAY,2.9336356968901076,9.592135330283039,10.0
HBAN,1.0472193665347556,2.2956775426345835,7.0
ROKU,2.6301684898864663,4.777324675851382,7.0
DHC,0.5701133324360095,1.2446173526446762,11.0
