,Unnamed: 0,ratio,AvgGain,BattingAvg,AvgLoss
286,PAYX,3.7890809460207566,1.8181142496264344,0.75,-0.4798298784130739
45,PEP,3.1657948178385924,1.6638335240534374,0.75,-0.5255658119970641
254,CERN,6.27407497241649,1.698375154382011,0.75,-0.2706972998966051
168,BLMN,1.0707275966269632,0.5679305848480457,0.75,-0.530415566608311
155,TMUS,1.9379600258337557,1.190687224138065,0.6666666666666666,-0.6144023655110242
64,XRAY,7.327677331283149,2.1647401712025167,0.6666666666666666,-0.2954196907607898
32,EBAY,0.7220048209131097,1.2744319321264297,0.6666666666666666,-1.7651293941703503
127,ATHX,0.7210927204678393,0.4144207062229954,0.6666666666666666,-0.5747120924395444
263,VXUS,5.552150112621758,1.5782065371899299,0.6666666666666666,-0.2842514170505184
50,TER,1.9188592594340144,1.744712804150894,0.6666666666666666,-0.9092448003015674
