,Unnamed: 0,ratio,AvgGain,BattingAvg
129,POLA,12.92060215633121,32.32758713711175,5.0
227,IQ,9.691936877615651,4.890193952098598,5.0
28,DDOG,7.614541762052642,3.669445731994214,13.0
139,XLNX,7.341839641039537,3.1197458860679763,6.0
217,GNMK,6.375123486859835,7.42893417995042,8.0
137,MGEN,6.137357181719293,49.77357900503768,4.0
286,PAYX,5.7878407504390985,1.2026299371774352,11.0
121,MOMO,5.377034160190492,2.5987955884652525,9.0
88,MTCH,5.16615015524601,3.2932803495742564,10.0
8,ARCC,4.62640658685169,1.0075419926517095,5.0
