,Unnamed: 0,ratio,AvgGain,AvgLoss,BattingAvg
269,PEIX,0.7128521659365835,0.8482260887479108,-1.1899046243809412,36.0
31,MIK,0.4791919679210295,0.4757847871315871,-0.9928897372712144,35.0
93,SDC,0.8535298351959949,0.6662196436886585,-0.7805464041402552,33.0
279,ZNGA,0.8587832209867164,0.33270450215747915,-0.38741383625918013,33.0
153,XEL,0.9269630024450494,0.2023129965865101,-0.21825358299400227,33.0
92,AMRN,0.6406384623661496,0.5540072372730926,-0.8647736122912584,32.0
260,MYL,1.0079483912279958,0.372456995691552,-0.3695199069049389,31.0
19,MGNX,0.6600488276014809,0.6078690895808503,-0.9209456394154294,31.0
284,VIAV,1.8232082112547456,0.5080379852589529,-0.2786505579136885,31.0
183,SRNE,0.4560358082316627,0.6231504717464771,-1.3664507490383768,31.0
