,Unnamed: 0,ratio,AvgGain,BattingAvg,AvgLoss
45,PEP,3.1657948178385924,1.6638335240534374,0.75,-0.5255658119970641
254,CERN,6.324858763717519,1.7121221895657124,0.75,-0.2706972998966051
168,BLMN,1.0707275966269632,0.5679305848480457,0.75,-0.530415566608311
286,PAYX,3.7890809460207566,1.8181142496264344,0.75,-0.4798298784130739
155,TMUS,1.9379600258337557,1.190687224138065,0.6666666666666666,-0.6144023655110242
32,EBAY,0.7220048209131097,1.2744319321264297,0.6666666666666666,-1.7651293941703503
263,VXUS,5.552150112621758,1.5782065371899299,0.6666666666666666,-0.2842514170505184
50,TER,1.9188592594340144,1.744712804150894,0.6666666666666666,-0.9092448003015674
246,ADP,4.9477265600136695,2.2724503279815895,0.6666666666666666,-0.4592918182558803
61,NYMT,0.5250718328224461,1.3418503270144375,0.6666666666666666,-2.5555557223504444
