,ratio,AvgGain,BattingAvg
VG,0.47803359649647464,1.3697257610572229,8.0
CDNS,1.4152619183834243,2.806245484617912,9.0
UONE,3.809754827772259,8.741951591027982,10.0
AVGO,0.6801678864555167,1.274350170827813,9.0
ADBE,0.9185769955595783,2.068433807606977,5.0
ALXN,2.4336098853510464,2.921382002399742,9.0
LLNW,0.4491240678678399,2.965005426725297,9.0
MXIM,6.0332141115855205,4.406910268596373,7.0
ARCC,1.513438114064437,1.3188485179588172,10.0
COST,1.8617744295267538,2.7320957448860472,6.0
GNUS,0.9732732131190701,2.8588336276540955,11.0
FRSX,0.9120501000936083,2.783397186053189,12.0
CRIS,0.8784301454780694,1.9660832870671874,11.0
NLOK,1.139395473479237,0.9663171941809257,12.0
GEVO,1.2478578935341194,3.029057856617946,10.0
DGLY,0.9567929159786576,1.848630756444079,15.0
QRTEA,1.9843314657972213,2.7143354355151392,12.0
MAR,1.4789276176551789,1.7532914720279102,8.0
VSTM,0.5830247672974954,1.026723307724534,12.0
MGNX,0.32483516479241586,1.480402963987848,10.0
SABR,0.9771540042805869,3.34637718090914,8.0
ENDP,4.126860169411731,7.042393402818154,8.0
BYND,1.3035308821694376,3.7812150573545735,11.0
YNDX,0.5498967784423406,1.4199552472556665,8.0
COMM,1.080443743867034,2.9911602259826315,9.0
APPS,0.45240081719405945,2.9135094287852707,6.0
DCT,-inf,0,0
AGEN,0.2857234636748688,1.2796984969016216,11.0
DDOG,1.6205436247199925,4.0207876198775105,6.0
PRPO,0.9199993909214814,3.2411792509302777,8.0
ZI,2.8388477787473922,6.1342799461833115,9.0
MIK,0.8519428808982772,3.0630264316034364,8.0
EBAY,2.7892691379917487,5.447455165239129,7.0
EVFM,1.9606246339355706,4.729069632821476,9.0
CEMI,1.6561445756198423,3.593676869754489,9.0
BILI,1.2156891614441803,2.6272260257837488,9.0
ZION,1.794912223896916,2.9583190473091623,10.0
ZM,5.996206519764565,6.563636962208901,9.0
PBCT,2.4113394166488265,2.8232796245975,8.0
ZSAN,0.4887863268498518,1.9376118925773553,8.0
DISH,0.7965477400182528,1.609496758795348,14.0
INFN,0.8711641428469944,1.662885692906376,11.0
VIAC,1.0379812018004189,1.9369539091864525,10.0
CG,1.0590427641051008,2.551297172986559,7.0
OPGN,1.157387186372794,2.439553421166339,11.0
PEP,3.7359390591027557,3.161576873038174,12.0
WDAY,1.0134213719659448,2.3353679048594325,7.0
IMGN,3.844061685487464,5.089851839317283,11.0
AYRO,1.0315123593178812,2.1068779796782766,12.0
BNDX,1.2304819265438098,0.05579063278090299,11.0
TER,1.4938562551312737,2.4498159300724964,5.0
Z,1.3937807464398655,2.1672442904990215,7.0
GT,1.656167650523322,2.8992527100793293,6.0
NK,2.980405707013419,6.658623645322228,8.0
DVAX,0.4127572981640422,1.0462170486592393,10.0
AMD,3.2271288551219537,2.6280600440994735,7.0
QCOM,2.0365591457256462,2.197456784821905,6.0
ABUS,0.7446898891542179,1.4286012631024865,13.0
MNLO,0.41247234233208857,2.0902788859576473,4.0
WTRH,0.6246246163274246,2.355999735361114,11.0
ARPO,1.5082592158205124,4.928549321097921,11.0
NYMT,0.6879827205696171,1.3240009290251396,11.0
DFFN,0.5173096988388467,1.8386316891989154,9.0
KC,0.31375565555833207,1.505642927310794,8.0
XRAY,1.2618528186004276,2.474821417792783,8.0
UAL,1.689957156597898,2.426102876526733,7.0
PAAS,0.8765253725047457,2.543294025624417,8.0
MU,1.1442195932630894,2.1015820814089,8.0
CMCSA,0.5180623341213736,0.9271072270359911,8.0
SHY,11.569692284647484,0.009832961059293618,4.0
GLUU,1.357343180590652,1.278050979329115,12.0
FOXA,0.7233928028239804,1.9557121803987576,7.0
WATT,0.7447187363417412,2.120392625637891,14.0
MTP,1.1671776107086917,3.0954795425278956,6.0
SFM,0.7086012688507689,0.7967499545879803,13.0
ON,3.318825127662293,6.067809652988432,11.0
CLVS,0.5556758440502427,2.06518918790645,13.0
SGMO,2.264169020271116,5.075418227079553,9.0
PLAY,1.3967247643662355,7.4412098104144,8.0
HBAN,1.089429700916939,2.2956775426345835,8.0
ROKU,2.2191314286953316,6.053300518376434,6.0
DHC,0.5373983157987233,1.173197031311644,11.0
AKER,0.778393238015629,2.299041806836272,9.0
SBUX,2.1787360260613386,1.5737803073337127,8.0
RIGL,0.7746572813799648,1.7279395415131826,8.0
MDLZ,1.2277590562198404,1.840561104663302,10.0
HHT,0.3215859908000131,3.2628790192035537,7.0
BIDU,1.454789925832686,1.1444842920132259,16.0
MTCH,1.7743704393419317,2.1781074001944494,9.0
QQQ,1.8456845089106793,3.023977622161139,7.0
TCOM,2.448740670408823,4.182876506826192,8.0
PTON,0.7519175881540295,5.129412638679888,3.0
AMRN,2.659861320754096,3.977872601136436,6.0
SDC,2.3834836251267224,5.87746177735316,9.0
EXC,1.4185540751961052,2.1720945238179934,6.0
STAY,0.6875296800834206,1.143969890321317,12.0
PYPL,2.4523361981026324,3.15694969515491,6.0
HZNP,0.919863260655012,1.6240765659742655,8.0
DOCU,2.159356777175691,3.7642381628148414,9.0
SUNW,8.734416480338554,23.214666567633508,10.0
PHUN,0.6270913226732692,2.8565771817507732,6.0
MDRX,0.49764922052066135,1.0980397661184638,8.0
MNST,1.9346329182432045,2.3475435188592852,7.0
RUN,1.7503384701448985,7.623085557551096,11.0
ADTX,1.054037951915506,1.7509471096465887,13.0
ROST,1.3578465187810695,2.2435676422043382,8.0
SLM,1.811101003258641,2.1495149859608476,9.0
ACGL,1.176451686004392,1.9642463729692186,7.0
CAKE,0.6657560328517519,2.0634159408321526,10.0
CSX,0.4121285674922947,0.8630071196881556,6.0
AGNC,0.5172344193027395,0.4986501171779234,13.0
ERIC,1.3624918774798542,1.5841165673389204,9.0
CLSN,0.5468639561401948,1.2722056447136032,11.0
MIST,0.5342616458246787,2.4235210658417605,9.0
CAPR,2.1119677189809227,2.6857135572264514,11.0
GILD,1.0653353922432764,0.9998059108428659,11.0
VBIV,0.6668733128026054,1.3329215642318921,14.0
NVAX,0.6047196419960543,2.846105449709273,10.0
NTAP,1.3744521276371535,3.0597578160277386,7.0
HMHC,1.9862814096346477,4.753580279759564,8.0
FLDM,2.540805265664862,9.970601737834215,6.0
MOMO,1.2571528823996108,2.012186393311837,14.0
TLT,1.2342577765408704,0.6678943832644372,9.0
FCEL,1.3374195229252592,6.433146155157352,11.0
GPRO,3.2967308089355654,5.447965572379283,10.0
IDEX,0.5292578480845336,1.5013067804324665,7.0
FAST,0.673730412131643,1.2086580964759066,5.0
ATHX,0.7614585626558691,1.3630985997895266,15.0
LYFT,0.6082561947898836,1.821841627328687,8.0
POLA,2.8166865851583345,9.026223901764723,8.0
MEIP,1.0386444839179647,2.5312039152208774,14.0
APHA,1.902408643076725,3.7570098649659176,12.0
SONN,1.0649675732425623,1.7600245768321034,11.0
ETFC,0.6425885444031948,0.9748194329264104,9.0
CLNE,0.6402259764420972,1.1201469589404027,14.0
VEON,1.029408957461623,1.3576782135686027,9.0
FANG,1.147235534936233,3.8047914358642814,11.0
MGEN,0.3369824476263717,1.906212638900057,7.0
FOLD,4.495132748617696,4.200053241710294,6.0
XLNX,5.476802201478731,4.848719450827137,9.0
DISCA,0.7466422570156515,2.148810600236421,8.0
TXMD,1.047379752445263,1.5171055360957164,13.0
OTLK,1.510673671097408,2.4684129145841482,11.0
BND,0.6403577942184551,0.05559257121077928,11.0
ANGI,2.0239241842734708,4.385023789637155,10.0
NBL,0.4544762905453404,0.7620344149850947,11.0
AMZN,2.339731643145545,3.263541743154241,8.0
FITB,1.752508563202644,3.0062889607667627,8.0
ACWX,1.0533371006300045,1.0821721138062523,9.0
WKHS,0.8783674826815879,4.549967057356158,8.0
FB,1.7584007258200647,3.4971946860146064,7.0
SFIX,3.0945968297550865,5.008287367417272,10.0
LTRPA,0.7314731409588204,2.303764051528742,14.0
XEL,1.7685683856578736,1.6089487485210885,9.0
RRR,1.605920967443401,1.94002928035302,6.0
TMUS,1.4653550969232227,2.0164058404888627,10.0
TSLA,1.4106368521667476,3.130167788541422,10.0
NVDA,2.6409420319707007,2.9034329189885018,7.0
WDC,2.5204674466605264,2.8598264083216303,7.0
CREX,0.630889328239966,1.7960796679736504,9.0
STNE,1.6698776631284262,3.678996685602243,11.0
CBAY,1.3702748420359119,3.082072713419683,6.0
TRIP,1.1872124392438843,1.6017858400400966,12.0
ALT,0.957666896173912,4.396744523569648,9.0
MRVL,1.0637717965312612,1.7348531188566683,8.0
SMH,3.156867598994373,3.5688127163310104,10.0
LVGO,2.0458789680509493,1.9953270112140251,9.0
GAN,1.319609226445147,3.714923827799061,10.0
BLMN,0.5902998522284298,2.4359382753849634,10.0
