,VG,CDNS,UONE,AVGO,ADBE,ALXN,LLNW,MXIM,ARCC,COST,GNUS,FRSX,CRIS,NLOK,GEVO,DGLY,QRTEA,MAR,VSTM,MGNX,SABR,ENDP,BYND,YNDX,COMM,APPS,DCT,AGEN,DDOG,PRPO,ZI,MIK,EBAY,EVFM,CEMI,BILI,ZION,ZM,PBCT,ZSAN,DISH,INFN,VIAC,CG,OPGN,PEP,WDAY,IMGN,AYRO,BNDX,TER,Z,GT,NK,DVAX,AMD,QCOM,ABUS,MNLO,WTRH,ARPO,NYMT,DFFN,KC,XRAY,UAL,PAAS,MU,CMCSA,SHY,GLUU,FOXA,WATT,MTP,SFM,ON,CLVS,SGMO,PLAY,HBAN,ROKU,DHC,AKER,SBUX,RIGL,MDLZ,HHT,BIDU,MTCH,QQQ,TCOM,PTON,AMRN,SDC,EXC,STAY,PYPL,HZNP,DOCU,SUNW,PHUN,MDRX,MNST,RUN,ADTX,ROST,SLM,ACGL,CAKE,CSX,AGNC,ERIC,CLSN,MIST,CAPR,GILD,VBIV,NVAX,NTAP,HMHC,FLDM,MOMO,TLT,FCEL,GPRO,IDEX,FAST,ATHX,LYFT,POLA,MEIP,APHA,SONN,ETFC,CLNE,VEON,FANG,MGEN,FOLD,XLNX,DISCA,TXMD,OTLK,BND,ANGI,NBL,AMZN,FITB,ACWX,WKHS,FB,SFIX,LTRPA,XEL,RRR,TMUS,TSLA,NVDA,WDC,CREX,STNE,CBAY,TRIP,ALT,MRVL,SMH,LVGO,GAN,BLMN,MBRX,SHV,SQQQ,RPRX,MCHI,VISL,ADI,URBN,JAMF,TGTX,AIKI,AAPL,MLCO,WBA,SRNE,NWSA,LBTYK,GPOR,IRWD,YRCW,APA,MYOS,VOD,NBEV,UPWK,NERV,CZR,WEN,MGNI,CRWD,DLTR,MSFT,FISV,GOCO,IAC,PFF,XSPA,SAVA,KHC,BYFC,AMAT,BNTX,INTC,HTHT,VLY,NAVI,JD,SOLO,GNMK,OSTK,MAT,ONTX,EMB,EA,BCRX,SINT,AMTD,INSG,IQ,LPCN,UONEK,GERN,PDD,FLEX,BIGC,CLSK,ATVI,OGI,NWL,BBBY,SIRI,DKNG,MNKD,MCHP,CNDT,TXN,KNDI,ADP,CETX,MARK,GNPX,VCIT,PLUG,CSCO,UNIT,CERN,INO,AAL,ACWI,XERS,IMMU,MYL,TIGR,CIDM,VXUS,NKLA,PDBC,SPWR,OPK,JBLU,PEIX,SONO,HCACW,CRON,EXPE,CAN,TELL,CJJD,BLU,TTWO,ZNGA,BOXL,WIMI,DISCK,IGSB,VIAV,UMRX,PAYX,ENPH,SFET,BLNK,CTSH,AMGN,PENN,CVAC,VCSH,TRVN,ADMP,TQQQ,SWKS,CAR,TNXP,ZS,MGI,HOLX,IBM,T,DAL,J&J,GE,NIO,JKS
ratio,1.6367458863004067,2.2361435426032936,2.0162951102673343,1.076051712349916,1.1416985816437284,0.507009973122188,0.59281277491879,1.799522112144221,0.6888841387371052,2.3581945674946443,2.3420965537422056,2.290563239730113,1.4100423927388357,1.004364854047701,1.7234473285386473,1.2904362835695484,1.1291344062737425,0.4390100950893492,1.7832073281325242,0.7405967962701383,0.6127846016738876,3.729890587167306,0.8146771951257612,1.2295024520319673,1.061269498686906,1.1298089224817776,-inf,0.5694457244807564,1.1835131231538487,1.8991235745111743,1.207539075973122,0.6287613916201346,0.5364855870006835,1.4225051758357152,0.6776221096088813,0.722552753505667,0.9682501957108963,2.3607805355031752,0.9391852369603992,0.5900221057140707,0.6278664927971267,1.0547119156761242,0.540083752200295,1.312075344760503,3.4052867995042453,1.0737240410171203,1.0462539095380148,4.1855795999456715,0.7198724322572542,2.2114400821970372,2.083341505632404,1.132599745690057,1.852521994766891,1.4625221275052545,1.0258135895613665,1.7767396944450675,1.2739800907228809,0.9722900842354262,1.8819374419127513,1.171030896393135,3.7249065907698222,1.086440336026459,0.9647675842289352,0.6977627978265466,0.7084912454402023,0.42491287414059353,1.0136232461707164,0.775360539124649,0.7139983471062458,1.4555136317594033,1.2125521169118145,0.6367574647648997,1.1381358176345189,2.429881148383954,0.5581417939671147,0.9204925953450404,0.43663707564528514,1.4246632405475455,1.0084909111906342,1.097430044154974,2.9899583273524035,0.9566065494005271,0.9319308312106838,1.1953991711946925,1.506462958357881,1.1891024908348702,0.2833594468878168,0.7663483231726953,1.2189840785036363,0.9829197679335928,1.1279104104151323,1.9975492688793444,1.9272162867030906,0.981162928234878,3.3621192564506512,0.802598506203765,2.0884176394429392,0.9841021192000039,1.5100849953064532,1.5823019512337448,1.1198422677819724,1.7089587431840556,1.970119076615727,1.8149594537327012,1.7525766771408853,0.48764564794671533,1.7732956688458628,2.1024872393639775,0.6713683162712277,1.0117244863667783,0.8774376583443612,2.6423796763502634,1.2129377056971873,1.0108852707163594,0.9532003496163504,0.7418647392330457,0.9953560910454289,0.35900957946485995,0.7268782913902773,1.081034230703582,1.0091469243256885,0.4080008405582785,0.6500309293031689,1.0344517713097812,2.5374260007674945,0.8871360196112783,0.9793354259131487,1.645074975249842,0.5782170786436639,0.5661067608238233,0.9343257298451811,0.7174557260604434,4.334103786217801,0.49673454919044635,1.0973958719827084,2.088867388984531,0.9811025107117356,1.08415463383711,1.6588171984252909,1.0349207775784262,0.9024170188520335,2.1752352564156925,2.61263201907016,0.7056030245021366,1.693489937118976,0.6530201590422252,1.6018715869052556,1.249186832946415,0.6123262200364784,0.8621394489235504,1.1888272375939366,1.149673216842814,1.2986558902745764,0.9370057319443083,0.7698412386377789,1.6416401849839475,0.6115295882997501,1.033299202965468,0.8285208175489612,1.7308976309052084,0.7857888116783455,0.6740542683998404,0.3583626939787433,0.5967538510666952,0.845915849881465,1.527662532316062,0.9609310850542169,0.6279385578687002,0.442952992954872,1.0261290530576246,1.4616307572530811,0.7815335258492723,1.0076235622285135,2.020778929878356,1.4404097162284402,1.5725047740349207,0.6929197240485742,1.0112567365258975,2.728207625185337,2.435405903220204,1.1885502401771646,0.5661603416924724,0.6838070574808668,0.851554027064388,0.48652019750708014,0.4628023871026758,0.7735480864958161,1.0423346329908325,0.8900160930964289,1.1939811059348415,1.912292629716129,1.9975955350048753,2.084185382807281,0.8144559043333497,0.8587162535645196,0.8255876487165266,1.709875846365569,2.1988522654111815,1.5255608948655004,0.7301684843416691,2.626436245840275,0.6888631092087161,1.0564648134731882,0.5848588793211595,0.8017193043154361,1.7710220208988072,0.7809942620350677,0.9363094802235514,1.3646593100507212,1.2466091529797911,1.7913371407357725,0.26661726962257626,0.8547320598750928,2.144546012018421,0.9137496172847337,1.5346935065547738,0.8230954513316158,0.5983147237797483,0.7019104207489796,0.8565169027203434,1.9319258181061736,2.8380287016162504,0.8034603175179545,1.2803289478184319,1.541971947390766,1.004880502510825,0.5700860162297721,0.8231551372509464,2.099923091905336,1.834810533373065,4.105473477620077,1.9498940616469824,1.6054293565059037,-inf,1.7078932724010785,0.6204647678774389,1.0853550070093612,0.7879153626411309,2.1183433626767254,2.226784666457557,0.6714965516381309,1.0350730792956344,1.5194326664975752,2.0569069705272853,1.766210600971991,1.2649653453330918,2.2321361812568363,1.614318562848769,2.0998986501855477,1.2466267169938698,1.1298392215052284,2.058925772631556,0.7646592976849549,1.0033936191962598,1.0528907119474857,0.6477900523439092,0.3377978301059774,1.5748499407580978,1.9083998602512227,4.64765042014123,0.9230386441365411,0.8989475028206028,1.6870585325061205,0.4469954031844827,1.022139721035517,1.021082627703732,2.1080654355029322,3.11131802632225,0.5648607981293895,0.8779823249298329,0.7964067405913212,-inf,1.4762799039638816,0.9232581574170341,1.8019180833767485,0.8789932925956059,1.2645328781324636,1.7828542802017946,0.6873089322353602,2.103397883236879,1.7466882283352845,1.2674098032642573,1.34571099853117,1.763893683358767,1.9805732605492783,1.5141955356047136,0.980251162119946,1.7130099026928698,2.341904852805686,0.6015945911909714,1.371932400289527,1.30482374518863,0.7159734176598811,-inf,3.169682310173609,1.5810095562511628,1.1871395929084834,1.0376760530460216,1.6711253343018104,1.5530648324643521,0.41600704216013334,1.398678937699206,2.1444041683850203,1.0057173770797907,0.43002537938173874,0.8996696635011979,0.7848096634785346,-inf,1.5760829014122115,1.8340251359509616,4.640467579989124
AvgGain,0.4342863613968288,0.8782309681597003,2.264194271897741,0.17265913728662274,0.4145414801939964,0.26182543720548873,1.0746124420147944,0.4100961465686291,0.15877321208880302,0.577543258657455,1.7095724239042633,2.0572173825498603,1.1921131966386118,0.3069511922481934,1.6302353368124733,0.9480991536655189,0.7474648532348844,0.2467908170519855,0.8451996610300825,0.6313396665987921,0.5029452448322589,2.881574722804995,0.36472011360938106,0.4265940071533642,0.4505856546173656,0.8091952180674218,0,0.5945646405970162,0.4870629851388558,1.374770769635687,0.6268837960119533,0.5809712236815884,0.27708409518376254,1.2842114857030376,0.5608989070298527,0.31863531425720587,0.43755858357053207,1.0514049265225232,0.3429987385583074,1.5504317184318432,0.2727726941423825,0.6307871305612445,0.33178121119908616,0.4050582604988488,1.0229064957933456,0.1805918878283057,0.40966429716938796,1.8790505147271135,0.6766439780386677,0.06071896476624872,0.6444928542601032,0.6680621394256426,1.078399165424886,1.13633796052767,0.6993021781787885,0.6645594339026958,0.34677474440060274,0.5860091864316039,1.1596552898982233,0.9510442270396395,1.6194325896424067,0.6245419771993432,1.126594255657284,0.6944342291737543,0.41216238623352036,0.3693301381195233,0.4459379303261084,0.3534585885649572,0.1918893615952318,0.00844611763228531,0.47999318329785073,0.34604215244831393,0.5951677398124556,1.8034186370389171,0.24077381587908686,0.3559179208244306,0.39673138449331874,0.54619756545833,1.3504483775726694,0.3338173957456109,1.1007100566913353,0.6482343253109903,0.7996874305336766,0.3156092417297285,0.8565705800111518,0.24589012729194382,1.2136780795622637,0.35873384122323354,0.42486542490319557,0.20762011930908866,0.3152529519254028,1.2419744657401677,1.196836042457463,0.7777640341167156,1.0993046884717097,0.4187018774552403,0.538579097165277,0.4353801495851993,0.6339418385006212,2.9725742549575607,1.0877530953576704,0.9139770312233152,0.4522286624737738,1.5111703490673558,1.6155462545097927,0.3225728641606661,0.8954134383385585,0.6399954609483535,0.6467669980057569,0.42620765785149856,0.22129019446960774,0.564848708647479,1.2891664420302578,0.6038705260900814,0.9248019881452225,0.16704834286428338,0.7551516896860948,0.5282159129106377,0.3167582504135506,0.9792465107476006,0.7121818450776343,0.24561625094972636,0.0607176304917004,1.1478423512236418,2.71832373092763,1.1940175872045768,0.2963228475158701,0.6433543464993204,0.32518977739230337,0.9558263715403921,0.5005620019740269,0.9967226685892242,1.3358381650713158,0.2590980420977046,0.6710668623765977,1.7933532051406418,0.6155955554198697,1.1297260170136973,1.1712810201132913,0.2753606967651992,0.2957818746039538,1.3335994092654184,2.4277958031372253,0.016392701570042266,0.6203989815404185,0.22925105664523138,0.5042803824063734,0.39774647602352525,0.1493537528772552,1.1391765019309659,0.37910440166841936,0.8773036850495306,1.3092430897816882,0.3011241383345826,0.4515721426455539,0.3406356906646973,0.4689769047585471,0.33862575457262395,0.40747008970637094,1.2625608106661845,0.42068148574888514,0.6267595912315327,0.3134833929351457,0.5204819981364147,0.2853607098353962,0.3549324333267359,0.3420628339613232,0.4737891171377139,0.43404296403150394,1.0837732745450483,0.0038117323037134554,0.628533633031749,0.6100939231797812,0.4090051186131724,0.9828664308901734,0.4057676902246158,0.4943941278786128,0.5502919208231838,1.4310739166683195,2.857117412319038,0.31854440520251387,0.3797672531213531,0.29503824308961957,0.8880915062895518,0.31305740586968445,0.24160250737011196,1.7347031610048824,0.49883223673132165,0.8962250771121535,0.7233766441534326,1.037409799060139,0.595293341192199,1.6843723354223386,0.42683647463101076,0.618925546927242,0.4755439194539123,0.4490287478187424,1.4867283961500053,0.7917736283003141,0.4106489907641909,0.5295684355180115,0.22302564563349786,0.6843747753326194,0.2656253010424274,0.0803851918079201,1.5043435830236302,0.8001009053897911,0.2812589819688131,0.8029609090340863,0.4331360773861116,2.0649129023743877,0.19152144255441908,0.4895547213793244,0.8514350262397491,0.5782576400179009,0.4758057618871109,0.6995007786549324,0.8534191827721818,0.5878903557277336,0.5232135000079735,4.6638319977123786,0.11234995024788388,0.17880588786952886,0.8638688296690787,1.093576776850318,0.5469352629423978,0.3297321441265209,0.3914492973124606,1.2927419518472179,2.4473657382055913,1.4570716114569953,0.7053339175454829,0.5917554768103646,0,1.3257980603102193,0.21069195628176107,1.2651101098223352,0.3080935366565424,1.3081307948603889,0.6322817741856536,0.8130380656633102,0.7194655650536099,0.3009047484252899,1.0573948158195745,0.42993021482872523,1.108357797351346,0.8277739541889773,1.643193759746576,1.1969576919567453,0.72205967617554,0.03172075459856177,2.1468587205911236,0.21465631600900634,0.992496628851048,0.2930304016359283,0.6982894513272438,0.24179365703684683,0.23449481639268147,1.3233772404560737,0.19052807476516276,0.29340789459633004,0.6180648425179357,1.6351225575716606,0.13308930155061294,1.8360386398598607,0.15534852870532725,2.1166752213486673,2.3590320356608787,0.3485130631950855,1.231716327721669,0.43679129811589934,0,0.7137566606980442,0.5848131320898396,1.1302822583580565,1.4927972904998947,1.0752427431799776,1.0170799509059285,0.20899641598103721,0.5464479717874084,1.6986569452405855,1.018574050733422,0.4300505927541091,0.03257789731169106,0.6746955375988682,1.2077656581263272,0.283626939483248,1.1474755173326758,1.9028325320114752,1.212093136874996,0.3152874690839404,0.27285523689361035,0.47973071321278143,0,0.02762979229359925,1.2223611377468244,2.460925494701657,0.6321303325917086,0.4827377134900566,1.6404727086784063,0.6205617086128308,0.5090795681125518,1.9356711070386028,0.3775709259589324,0.20733726298201768,0.21116254471498813,0.3624033802127613,0,0.5175279342634983,1.2649647807341111,4.854071695253294
BattingAvg,29.0,26.0,19.0,25.0,20.0,24.0,25.0,25.0,32.0,17.0,20.0,13.0,16.0,26.0,16.0,18.0,22.0,24.0,22.0,36.0,27.0,13.0,25.0,26.0,26.0,19.0,0,30.0,27.0,16.0,22.0,29.0,26.0,24.0,22.0,25.0,29.0,16.0,30.0,23.0,31.0,16.0,20.0,24.0,16.0,31.0,22.0,19.0,21.0,18.0,16.0,25.0,26.0,23.0,31.0,24.0,27.0,25.0,11.0,31.0,19.0,24.0,15.0,20.0,22.0,21.0,24.0,27.0,31.0,12.0,18.0,21.0,19.0,17.0,30.0,21.0,32.0,24.0,21.0,33.0,19.0,31.0,22.0,21.0,18.0,29.0,18.0,22.0,19.0,25.0,22.0,21.0,25.0,31.0,18.0,30.0,18.0,30.0,27.0,25.0,22.0,24.0,31.0,25.0,17.0,24.0,17.0,24.0,25.0,21.0,26.0,21.0,20.0,20.0,20.0,28.0,27.0,30.0,20.0,23.0,33.0,23.0,32.0,24.0,15.0,19.0,27.0,30.0,25.0,22.0,26.0,20.0,17.0,18.0,22.0,17.0,23.0,21.0,9.0,17.0,31.0,14.0,16.0,36.0,32.0,28.0,28.0,24.0,22.0,30.0,24.0,16.0,31.0,21.0,20.0,22.0,24.0,19.0,20.0,13.0,28.0,26.0,24.0,25.0,27.0,19.0,26.0,24.0,20.0,16.0,9.0,23.0,23.0,18.0,20.0,20.0,23.0,24.0,26.0,16.0,18.0,27.0,25.0,28.0,28.0,23.0,31.0,25.0,23.0,28.0,10.0,23.0,16.0,25.0,24.0,33.0,23.0,18.0,26.0,17.0,27.0,30.0,28.0,29.0,26.0,16.0,24.0,22.0,17.0,27.0,18.0,25.0,20.0,23.0,22.0,29.0,23.0,20.0,23.0,20.0,7.0,31.0,23.0,21.0,23.0,18.0,30.0,20.0,20.0,13.0,30.0,25.0,17.0,0,26.0,26.0,16.0,23.0,23.0,16.0,21.0,21.0,24.0,30.0,18.0,22.0,19.0,17.0,13.0,22.0,27.0,20.0,21.0,27.0,22.0,32.0,23.0,20.0,24.0,13.0,30.0,27.0,22.0,22.0,30.0,18.0,18.0,20.0,25.0,24.0,21.0,0,24.0,21.0,18.0,25.0,14.0,23.0,30.0,26.0,26.0,31.0,30.0,13.0,27.0,14.0,22.0,22.0,14.0,15.0,24.0,26.0,26.0,0,18.0,21.0,18.0,26.0,31.0,16.0,18.0,18.0,21.0,23.0,25.0,29.0,25.0,0,22.0,19.0,15.0
