,ratio,AvgGain,BattingAvg
VG,0.34945163506871835,0.9292796744580079,8.0
CDNS,0.7113894348698965,1.0107770340741338,10.0
UONE,0.8337435645998836,3.320810565451516,8.0
AVGO,0.7002737372764066,0.792592146587799,9.0
ADBE,0.6888269598849037,0.8315209437369996,8.0
ALXN,1.2457658793728832,1.0562333762786977,12.0
LLNW,0.2724254134442272,1.702873691749567,9.0
MXIM,0.7447226385471071,0.6374665761915532,9.0
ARCC,0.5584754109374397,0.48180401729185995,10.0
COST,0.9816319984002899,0.6098103128038046,11.0
GNUS,0.7621342828573661,2.334063290366879,7.0
FRSX,2.3101482147256087,3.314239481341925,8.0
CRIS,1.5689168096148403,3.0672633686074184,10.0
NLOK,1.2221182181012529,0.8616443462911502,15.0
GEVO,0.9416122053055266,3.4621544252033822,8.0
DGLY,1.678057652267962,2.6050208363059153,9.0
QRTEA,0.7188615698364204,1.2041795806054754,12.0
MAR,0.2429467652200986,0.8271944860797907,8.0
VSTM,0.7589871141261934,1.466418922468417,10.0
MGNX,0.4921611205274796,1.8136314013219288,12.0
SABR,0.3156238135492416,1.1063549704941003,11.0
ENDP,0.7494660362987587,2.3237752137428593,5.0
BYND,1.2648068049983276,1.7548839908082177,13.0
YNDX,0.35566220490466177,0.863973704752393,8.0
COMM,0.7288312304230342,1.48547640217505,10.0
APPS,0.9816300729416039,2.9397484224581434,9.0
DCT,-inf,0,0
AGEN,0.30617761407270955,1.5723446544764161,10.0
DDOG,0.8930711124018658,1.9346977963537975,11.0
PRPO,1.4756769435812322,2.989280903272628,7.0
ZI,0.991637000740026,1.7465762871247101,9.0
MIK,0.44593333037874006,1.7604562318527641,10.0
EBAY,0.41019025224418526,0.8077417253310291,11.0
EVFM,0.3726434428615221,1.9890160921335465,6.0
CEMI,1.0892343554246566,2.264380340695599,10.0
BILI,0.7978737782916707,1.049510980692653,10.0
ZION,1.2697532776425593,1.081028364487485,10.0
ZM,1.0049871249479467,2.1044967098503076,10.0
PBCT,1.1024728577644578,0.9571373437267943,8.0
ZSAN,0.39284586068831634,2.266937144869204,12.0
DISH,0.2798585018725923,0.7915973377811298,10.0
INFN,0.7036018096460258,1.0005906441983474,10.0
VIAC,0.3040934795779197,0.7288340868880416,8.0
CG,0.45555313586783336,0.8597921498005702,8.0
OPGN,0.8743618041397611,2.2459687894744227,6.0
PEP,0.7230584813686258,0.5920772467779223,10.0
WDAY,1.0159767262380848,1.134271965177275,10.0
IMGN,0.4159842567428612,1.5220485069620109,6.0
AYRO,4.064242882351381,3.10334611333625,12.0
BNDX,1.5081184987068619,0.06904781628424463,11.0
TER,0.9704124656512806,1.0281286117529733,6.0
Z,1.0657545472541354,1.4985642074440837,8.0
GT,0.5004344443239058,1.8208335827824216,8.0
NK,0.6106758945841899,2.472035454545989,10.0
DVAX,0.4519914343816367,1.8170004316774582,9.0
AMD,1.0558628774930499,0.9644495019404078,10.0
QCOM,0.5417260103843297,0.8395888074256164,6.0
ABUS,0.9418834098377855,1.499406341070196,10.0
MNLO,0.8908125488162508,2.5137137501139772,7.0
WTRH,0.6581649178331229,2.329412083023516,11.0
ARPO,2.342546806690732,3.0009107293448523,8.0
NYMT,0.5400650228876508,0.8772916229444193,11.0
DFFN,1.090951187277593,2.7201545313442472,10.0
KC,0.7881015362756078,1.9020920223641753,11.0
XRAY,0.49483808004472174,1.1138609985595957,8.0
UAL,0.621845201484086,1.2759396725643328,10.0
PAAS,0.6083387490561037,1.2258480695265501,9.0
MU,0.4318886226264485,1.0311352875020485,8.0
CMCSA,0.6787063833724147,0.5539982160622284,12.0
SHY,1.3764556922470077,0.01671497615809829,2.0
GLUU,0.8430723310678243,1.0300024760464161,7.0
FOXA,0.42626938014203153,0.7617119355944002,12.0
WATT,0.9125732155054195,1.7623678162030418,11.0
MTP,2.3952207382253197,4.320091459255967,5.0
SFM,0.47670353148205225,0.5834092302497693,11.0
ON,1.463178270050837,1.7396729920256755,8.0
CLVS,0.4460124500023137,1.5116792231536773,14.0
SGMO,0.5958229392860366,1.4613187660903222,8.0
PLAY,0.9775447468732356,2.7734865054741134,10.0
HBAN,0.5338021958347755,0.8096199102895751,9.0
ROKU,0.8434325353489251,1.593583481028877,7.0
DHC,0.47536243878104945,1.4502152675074378,9.0
AKER,0.9363240694907495,2.8009546643097205,7.0
SBUX,0.624204035901629,0.5758022592242104,9.0
RIGL,2.2391675671381974,2.1536891064806327,9.0
MDLZ,0.36862337648195515,0.44194912415166004,11.0
HHT,1.519405497052615,5.970011334802039,10.0
BIDU,0.8510108893618282,0.7970782357365324,10.0
MTCH,1.4340397127813265,1.2080721309829903,12.0
QQQ,0.6769742535868066,0.6795188754316337,8.0
TCOM,0.5640498102623469,1.1547709569193714,8.0
PTON,0.8604600159203699,1.6229036497440028,6.0
AMRN,0.7443892571127889,1.3494681804651105,10.0
SDC,1.004607329654837,2.8837280598384387,12.0
EXC,0.8132036680008564,0.8210341032203676,7.0
STAY,0.7653584071814751,0.8987613278001593,11.0
PYPL,1.0079450220027546,1.0241324445733813,8.0
HZNP,0.7813931405330417,1.1547557041718226,11.0
DOCU,0.6581427641649221,1.3672667630434678,8.0
SUNW,0.5633251352755086,6.1064345071380774,7.0
PHUN,0.9548998153301521,3.2528015459140196,7.0
MDRX,0.5744219272516599,1.6431197932290997,9.0
MNST,0.418639866852971,0.45491339906699124,8.0
RUN,0.34177691756591866,1.7469688758458817,10.0
